Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Total_Agricultural_Land,Barren_Land
Jowar,2011,Kharif     ,Gujarat,68200,80400,890.5,11424864,22506,1.107857143,80235.29412,12035.29412
Jowar,2011,Rabi       ,Gujarat,55800,59400,890.5,9347616,18414,1.084375,65647.05882,9847.058824
Maize,2011,Kharif     ,Gujarat,387000,539400,890.5,64830240,127710,1.466,455294.1176,68294.11765
Maize,2011,Rabi       ,Gujarat,106100,199900,890.5,17773872,35013,2.026363636,124823.5294,18723.52941
Maize,2011,Summer     ,Gujarat,22800,47300,890.5,3819456,7524,1.792857143,26823.52941,4023.529412
Moong(Green Gram),2011,Kharif     ,Gujarat,200000,87700,890.5,33504000,66000,0.46826087,235294.1176,35294.11765
Moong(Green Gram),2011,Summer     ,Gujarat,65500,33000,890.5,10972560,21615,0.5128,77058.82353,11558.82353
Moth,2011,Kharif     ,Gujarat,45700,22700,890.5,7655664,15081,0.648461538,53764.70588,8064.705882
Onion,2011,Rabi       ,Gujarat,63600,1860500,890.5,10654272,20988,24.66956522,74823.52941,11223.52941
Onion,2011,Summer     ,Gujarat,9200,258600,890.5,1541184,3036,26.965,10823.52941,1623.529412
Other  Rabi pulses,2011,Rabi       ,Gujarat,24000,17800,890.5,4020480,7920,0.691176471,28235.29412,4235.294118
Other Cereals,2011,Kharif     ,Gujarat,16000,9500,890.5,2680320,5280,0.554615385,18823.52941,2823.529412
Other Cereals,2011,Rabi       ,Gujarat,53300,53600,890.5,8928816,17589,1.038888889,62705.88235,9405.882353
Other Kharif pulses,2011,Kharif     ,Gujarat,34200,16000,890.5,5729184,11286,0.451578947,40235.29412,6035.294118
Potato,2011,Whole Year ,Gujarat,77800,1792300,890.5,13033056,25674,21.34230769,91529.41176,13729.41176
Ragi,2011,Kharif     ,Gujarat,16200,13300,890.5,2713824,5346,0.86,19058.82353,2858.823529
Rapeseed &Mustard,2011,Rabi       ,Gujarat,207600,327300,890.5,34777152,68508,1.5275,244235.2941,36635.29412
Rice,2011,Kharif     ,Gujarat,751300,1521800,890.5,125857776,247929,1.951666667,883882.3529,132582.3529
Rice,2011,Summer     ,Gujarat,84200,267900,890.5,14105184,27786,3.122222222,99058.82353,14858.82353
Sesamum,2011,Kharif     ,Gujarat,175700,81500,890.5,29433264,57981,0.519565217,206705.8824,31005.88235
Sesamum,2011,Summer     ,Gujarat,70800,34500,890.5,11860416,23364,0.463636364,83294.11765,12494.11765
Soyabean,2011,Kharif     ,Gujarat,42100,33400,890.5,7052592,13893,0.768,49529.41176,7429.411765
Sugarcane,2011,Whole Year ,Gujarat,201900,12748000,890.5,33822288,66627,58.77166667,237529.4118,35629.41176
Tobacco,2011,Kharif     ,Gujarat,62600,117500,890.5,10486752,20658,1.658571429,73647.05882,11047.05882
Tobacco,2011,Rabi       ,Gujarat,95400,160900,890.5,15981408,31482,1.492857143,112235.2941,16835.29412
Urad,2011,Kharif     ,Gujarat,96200,67600,890.5,16115424,31746,0.7364,113176.4706,16976.47059
Urad,2011,Summer     ,Gujarat,7000,4400,890.5,1172640,2310,0.79,8235.294118,1235.294118
Wheat,2011,Rabi       ,Gujarat,1350600,4072100,890.5,226252512,445698,3.01,1588941.176,238341.1765
other oilseeds,2011,Whole Year ,Gujarat,69600,38100,890.5,11659392,22968,0.454705882,81882.35294,12282.35294
Arhar/Tur,2011,Kharif     ,Haryana,16803,18200,471.5409091,2814838.56,5544.99,0.701578947,19768.23529,2965.235294
Bajra,2011,Kharif     ,Haryana,576167,1175000,471.5409091,96519495.84,190135.11,1.835714286,677843.5294,101676.5294
Barley,2011,Rabi       ,Haryana,41197,149000,471.5409091,6901321.44,13595.01,2.395,48467.05882,7270.058824
Castor seed,2011,Kharif     ,Haryana,2932,1300,471.5409091,491168.64,967.56,0.445,3449.411765,517.4117647
Coriander,2011,Whole Year ,Haryana,275,300,471.5409091,46068,90.75,0.705,323.5294118,48.52941176
Cotton(lint),2011,Kharif     ,Haryana,601756,2621000,471.5409091,100806165.1,198579.48,2.338888889,707948.2353,106192.2353
Garlic,2011,Whole Year ,Haryana,1252,1200,471.5409091,209735.04,413.16,0.686,1472.941176,220.9411765
Ginger,2011,Kharif     ,Haryana,64,100,471.5409091,10721.28,21.12,0.583333333,75.29411765,11.29411765
Gram,2011,Rabi       ,Haryana,78882,73000,471.5409091,13214312.64,26031.06,0.537777778,92802.35294,13920.35294
Groundnut,2011,Kharif     ,Haryana,2084,2000,471.5409091,349111.68,687.72,0.559090909,2451.764706,367.7647059
Horse-gram,2011,Kharif     ,Haryana,423,100,471.5409091,70860.96,139.59,0.093333333,497.6470588,74.64705882
Jowar,2011,Kharif     ,Haryana,64690,33000,471.5409091,10836868.8,21347.7,0.506363636,76105.88235,11415.88235
Jute,2011,Kharif     ,Haryana,652,0,471.5409091,109223.04,215.16,0,767.0588235,115.0588235
Maize,2011,Kharif     ,Haryana,11045,30000,471.5409091,1850258.4,3644.85,1.145,12994.11765,1949.117647
Masoor,2011,Rabi       ,Haryana,3794,3400,471.5409091,635570.88,1252.02,0.613846154,4463.529412,669.5294118
Moong(Green Gram),2011,Kharif     ,Haryana,16846,8000,471.5409091,2822041.92,5559.18,0.245,19818.82353,2972.823529
Moth,2011,Kharif     ,Haryana,2481,600,471.5409091,415617.12,818.73,0.095555556,2918.823529,437.8235294
Onion,2011,Whole Year ,Haryana,1860,32400,471.5409091,311587.2,613.8,16.7075,2188.235294,328.2352941
Other Kharif pulses,2011,Kharif     ,Haryana,541,0,471.5409091,90628.32,178.53,0,636.4705882,95.47058824
Peas & beans (Pulses),2011,Rabi       ,Haryana,1153,1000,471.5409091,193150.56,380.49,0.326,1356.470588,203.4705882
Potato,2011,Whole Year ,Haryana,12074,263000,471.5409091,2022636.48,3984.42,20.60733333,14204.70588,2130.705882
Rapeseed &Mustard,2011,Rabi       ,Haryana,535850,747700,471.5409091,89765592,176830.5,1.538095238,630411.7647,94561.76471
Rice,2011,Kharif     ,Haryana,1234094,3574300,471.5409091,206735426.9,407251.02,2.63047619,1451875.294,217781.2941
Sannhamp,2011,Kharif     ,Haryana,65,0,471.5409091,10888.8,21.45,0,76.47058824,11.47058824
Sesamum,2011,Kharif     ,Haryana,1970,700,471.5409091,330014.4,650.1,0.2025,2317.647059,347.6470588
Soyabean,2011,Kharif     ,Haryana,3,0,471.5409091,502.56,0.99,0,3.529411765,0.529411765
Sugarcane,2011,Whole Year ,Haryana,94892,695000,471.5409091,15896307.84,31314.36,5.534761905,111637.6471,16745.64706
Sunflower,2011,Kharif     ,Haryana,2978,3100,471.5409091,498874.56,982.74,1.266666667,3503.529412,525.5294118
Sweet potato,2011,Whole Year ,Haryana,37,0,471.5409091,6198.24,12.21,0,43.52941176,6.529411765
Tobacco,2011,Whole Year ,Haryana,11,0,471.5409091,1842.72,3.63,0,12.94117647,1.941176471
Turmeric,2011,Whole Year ,Haryana,267,200,471.5409091,44727.84,88.11,0.111111111,314.1176471,47.11764706
Urad,2011,Kharif     ,Haryana,2013,700,471.5409091,337217.76,664.29,0.162307692,2368.235294,355.2352941
Wheat,2011,Rabi       ,Haryana,2531302,13119000,471.5409091,424043711,835329.66,5.031904762,2978002.353,446700.3529
Arhar/Tur,2011,Kharif     ,Himachal Pradesh,12,4,1108.3,2010.24,3.96,0.433333333,14.11764706,2.117647059
Bajra,2011,Kharif     ,Himachal Pradesh,223,122,1108.3,37356.96,73.59,0.49,262.3529412,39.35294118
Barley,2011,Rabi       ,Himachal Pradesh,21123,30050,1108.3,3538524.96,6970.59,1.520909091,24850.58824,3727.588235
Coriander,2011,Rabi       ,Himachal Pradesh,129,42,1108.3,21610.08,42.57,0.33875,151.7647059,22.76470588
Cotton(lint),2011,Kharif     ,Himachal Pradesh,19,43,1108.3,3182.88,6.27,2.21,22.35294118,3.352941176
Dry chillies,2011,Kharif     ,Himachal Pradesh,620,177,1108.3,103862.4,204.6,0.272222222,729.4117647,109.4117647
Garlic,2011,Rabi       ,Himachal Pradesh,4110,5799,1108.3,688507.2,1356.3,1.1925,4835.294118,725.2941176
Ginger,2011,Kharif     ,Himachal Pradesh,2103,3736,1108.3,352294.56,693.99,1.825,2474.117647,371.1176471
Gram,2011,Rabi       ,Himachal Pradesh,612,614,1108.3,102522.24,201.96,0.664444444,720,108
Groundnut,2011,Kharif     ,Himachal Pradesh,114,106,1108.3,19097.28,37.62,0.88,134.1176471,20.11764706
Horse-gram,2011,Kharif     ,Himachal Pradesh,2066,1030,1108.3,346096.32,681.78,0.523,2430.588235,364.5882353
Linseed,2011,Rabi       ,Himachal Pradesh,1040,309,1108.3,174220.8,343.2,0.27,1223.529412,183.5294118
Maize,2011,Kharif     ,Himachal Pradesh,290241,612701,1108.3,48621172.32,95779.53,2.435,341460,51219
Masoor,2011,Rabi       ,Himachal Pradesh,598,550,1108.3,100176.96,197.34,0.852222222,703.5294118,105.5294118
Moong(Green Gram),2011,Kharif     ,Himachal Pradesh,256,129,1108.3,42885.12,84.48,0.478571429,301.1764706,45.17647059
Moth,2011,Kharif     ,Himachal Pradesh,16,4,1108.3,2680.32,5.28,0.166666667,18.82352941,2.823529412
Onion,2011,Rabi       ,Himachal Pradesh,724,6262,1108.3,121284.48,238.92,9.198,851.7647059,127.7647059
Other Kharif pulses,2011,Kharif     ,Himachal Pradesh,1827,524,1108.3,306059.04,602.91,0.353333333,2149.411765,322.4117647
Peas & beans (Pulses),2011,Kharif     ,Himachal Pradesh,1295,1705,1108.3,216938.4,427.35,1.331666667,1523.529412,228.5294118
Peas & beans (Pulses),2011,Rabi       ,Himachal Pradesh,1019,1685,1108.3,170702.88,336.27,1.396363636,1198.823529,179.8235294
Potato,2011,Kharif     ,Himachal Pradesh,6423,63593,1108.3,1075980.96,2119.59,11.144,7556.470588,1133.470588
Potato,2011,Rabi       ,Himachal Pradesh,3431,23799,1108.3,574761.12,1132.23,4.865,4036.470588,605.4705882
Ragi,2011,Kharif     ,Himachal Pradesh,2179,2446,1108.3,365026.08,719.07,0.892857143,2563.529412,384.5294118
Rapeseed &Mustard,2011,Rabi       ,Himachal Pradesh,9106,5110,1108.3,1525437.12,3004.98,0.970909091,10712.94118,1606.941176
Rice,2011,Kharif     ,Himachal Pradesh,75043,108648,1108.3,12571203.36,24764.19,1.545454545,88285.88235,13242.88235
Sesamum,2011,Kharif     ,Himachal Pradesh,2876,910,1108.3,481787.52,949.08,0.317777778,3383.529412,507.5294118
Small millets,2011,Kharif     ,Himachal Pradesh,5342,3226,1108.3,894891.84,1762.86,0.748571429,6284.705882,942.7058824
Soyabean,2011,Kharif     ,Himachal Pradesh,543,969,1108.3,90963.36,179.19,1.502857143,638.8235294,95.82352941
Sugarcane,2011,Whole Year ,Himachal Pradesh,1967,27771,1108.3,329511.84,649.11,10.67857143,2314.117647,347.1176471
Turmeric,2011,Kharif     ,Himachal Pradesh,197,98,1108.3,33001.44,65.01,0.52,231.7647059,34.76470588
Urad,2011,Kharif     ,Himachal Pradesh,9664,6150,1108.3,1618913.28,3189.12,0.690909091,11369.41176,1705.411765
Wheat,2011,Rabi       ,Himachal Pradesh,345182,506782,1108.3,57824888.64,113910.06,1.423333333,406096.4706,60914.47059
Arhar/Tur,2011,Kharif     ,Madhya Pradesh,532260,334259,852.6,89164195.2,175645.8,0.56,626188.2353,93928.23529
Bajra,2011,Kharif     ,Madhya Pradesh,199984,388169,852.6,33501319.68,65994.72,1.157333333,235275.2941,35291.29412
Banana,2011,Whole Year ,Madhya Pradesh,16990,599932,852.6,2846164.8,5606.7,19.14631579,19988.23529,2998.235294
Barley,2011,Kharif     ,Madhya Pradesh,76885,128552,852.6,12879775.2,25372.05,2.188421053,90452.94118,13567.94118
Castor seed,2011,Kharif     ,Madhya Pradesh,1778,511,852.6,297850.56,586.74,0.258571429,2091.764706,313.7647059
Coriander,2011,Whole Year ,Madhya Pradesh,158099,70512,852.6,26484744.48,52172.67,0.38,185998.8235,27899.82353
Cotton(lint),2011,Kharif     ,Madhya Pradesh,616858,1153463,852.6,103336052.2,203563.14,1.800952381,725715.2941,108857.2941
Dry chillies,2011,Whole Year ,Madhya Pradesh,57863,95243,852.6,9693209.76,19094.79,1.296326531,68074.11765,10211.11765
Garlic,2011,Whole Year ,Madhya Pradesh,73907,331615,852.6,12380900.64,24389.31,2.6802,86949.41176,13042.41176
Ginger,2011,Whole Year ,Madhya Pradesh,9926,10714,852.6,1662803.52,3275.58,0.946744186,11677.64706,1751.647059
Gram,2011,Rabi       ,Madhya Pradesh,2623653,2841598,852.6,439514350.6,865805.49,1.026,3086650.588,462997.5882
Groundnut,2011,Kharif     ,Madhya Pradesh,222520,369161,852.6,37276550.4,73431.6,1.360212766,261788.2353,39268.23529
Horse-gram,2011,Kharif     ,Madhya Pradesh,18823,4475,852.6,3153228.96,6211.59,0.213333333,22144.70588,3321.705882
Horse-gram,2011,Rabi       ,Madhya Pradesh,126,31,852.6,21107.52,41.58,0.2375,148.2352941,22.23529412
Jowar,2011,Kharif     ,Madhya Pradesh,346104,533346,852.6,57979342.08,114214.32,1.389387755,407181.1765,61077.17647
Jowar,2011,Rabi       ,Madhya Pradesh,2593,3994,852.6,434379.36,855.69,1.733,3050.588235,457.5882353
Khesari,2011,Rabi       ,Madhya Pradesh,53290,40447,852.6,8927140.8,17585.7,0.792758621,62694.11765,9404.117647
Linseed,2011,Rabi       ,Madhya Pradesh,91173,47045,852.6,15273300.96,30087.09,0.927777778,107262.3529,16089.35294
Maize,2011,Kharif     ,Madhya Pradesh,848894,1316635,852.6,142206722.9,280135.02,1.111428571,998698.8235,149804.8235
Masoor,2011,Rabi       ,Madhya Pradesh,586000,215179,852.6,98166720,193380,0.395625,689411.7647,103411.7647
Mesta,2011,Kharif     ,Madhya Pradesh,394,687,852.6,66002.88,130.02,1.508181818,463.5294118,69.52941176
Moong(Green Gram),2011,Kharif     ,Madhya Pradesh,79340,18025,852.6,13291036.8,26182.2,0.252244898,93341.17647,14001.17647
Moong(Green Gram),2011,Rabi       ,Madhya Pradesh,2899,695,852.6,485640.48,956.67,0.213,3410.588235,511.5882353
Niger seed,2011,Kharif     ,Madhya Pradesh,88711,16074,852.6,14860866.72,29274.63,0.182352941,104365.8824,15654.88235
Onion,2011,Whole Year ,Madhya Pradesh,67857,1267840,852.6,11367404.64,22392.81,17.7412,79831.76471,11974.76471
Other  Rabi pulses,2011,Rabi       ,Madhya Pradesh,17861,396,852.6,2992074.72,5894.13,0.163214286,21012.94118,3151.941176
Other Kharif pulses,2011,Kharif     ,Madhya Pradesh,10098,1568,852.6,1691616.96,3332.34,0.186756757,11880,1782
Peas & beans (Pulses),2011,Rabi       ,Madhya Pradesh,231468,81967,852.6,38775519.36,76384.44,0.366734694,272315.2941,40847.29412
Potato,2011,Whole Year ,Madhya Pradesh,83912,1028929,852.6,14056938.24,27690.96,11.689375,98720,14808
Ragi,2011,Kharif     ,Madhya Pradesh,262,68,852.6,43890.24,86.46,0.13,308.2352941,46.23529412
Rapeseed &Mustard,2011,Rabi       ,Madhya Pradesh,662435,789623,852.6,110971111.2,218603.55,1.011041667,779335.2941,116900.2941
Rice,2011,Kharif     ,Madhya Pradesh,1693231,2273045,852.6,283650057.1,558766.23,1.400416667,1992036.471,298805.4706
Safflower,2011,Rabi       ,Madhya Pradesh,157,33,852.6,26300.64,51.81,0.26,184.7058824,27.70588235
Sannhamp,2011,Kharif     ,Madhya Pradesh,3283,4400,852.6,549968.16,1083.39,1.528974359,3862.352941,579.3529412
Sesamum,2011,Whole Year ,Madhya Pradesh,328209,171982,852.6,54981571.68,108308.97,0.5806,386128.2353,57919.23529
Small millets,2011,Kharif     ,Madhya Pradesh,256550,84814,852.6,42977256,84661.5,0.341470588,301823.5294,45273.52941
Soyabean,2011,Kharif     ,Madhya Pradesh,5772461,6488246,852.6,967002666.7,1904912.13,0.946734694,6791130.588,1018669.588
Sugarcane,2011,Whole Year ,Madhya Pradesh,49502,1965790,852.6,8292575.04,16335.66,26.90304348,58237.64706,8735.647059
Sunflower,2011,Whole Year ,Madhya Pradesh,55,28,852.6,9213.6,18.15,0.355,64.70588235,9.705882353
Sweet potato,2011,Whole Year ,Madhya Pradesh,4924,22878,852.6,824868.48,1624.92,5.097111111,5792.941176,868.9411765
Tobacco,2011,Whole Year ,Madhya Pradesh,182,50,852.6,30488.64,60.06,0.173333333,214.1176471,32.11764706
Turmeric,2011,Whole Year ,Madhya Pradesh,995,720,852.6,166682.4,328.35,0.7928125,1170.588235,175.5882353
Urad,2011,Kharif     ,Madhya Pradesh,599209,162439,852.6,100379491.7,197738.97,0.2536,704951.7647,105742.7647
Urad,2011,Rabi       ,Madhya Pradesh,6464,1900,852.6,1082849.28,2133.12,0.2,7604.705882,1140.705882
Wheat,2011,Rabi       ,Madhya Pradesh,5248479,14537038,852.6,879225202.1,1731998.07,2.5908,6174681.176,926202.1765
Arhar/Tur,2011,Kharif     ,Maharashtra,1233100,870900,1174.095455,206568912,406923,0.639375,1450705.882,217605.8824
Bajra,2011,Kharif     ,Maharashtra,838200,823300,1174.095455,140415264,276606,0.833809524,986117.6471,147917.6471
Castor seed,2011,Kharif     ,Maharashtra,8100,3580,1174.095455,1356912,2673,0.445384615,9529.411765,1429.411765
Cotton(lint),2011,Kharif     ,Maharashtra,4166700,6820100,1174.095455,698005584,1375011,1.7416,4902000,735300
Gram,2011,Rabi       ,Maharashtra,1075100,857500,1174.095455,180100752,354783,0.798387097,1264823.529,189723.5294
Groundnut,2011,Kharif     ,Maharashtra,237700,257140,1174.095455,39819504,78441,0.902307692,279647.0588,41947.05882
Groundnut,2011,Summer     ,Maharashtra,85100,117740,1174.095455,14255952,28083,1.391333333,100117.6471,15017.64706
Jowar,2011,Kharif     ,Maharashtra,895600,1341700,1174.095455,150030912,295548,1.426,1053647.059,158047.0588
Jowar,2011,Rabi       ,Maharashtra,2333400,1285500,1174.095455,390891168,770022,0.805185185,2745176.471,411776.4706
Linseed,2011,Rabi       ,Maharashtra,31000,7760,1174.095455,5193120,10230,0.236,36470.58824,5470.588235
Maize,2011,Kharif     ,Maharashtra,736200,2126700,1174.095455,123328224,242946,2.101851852,866117.6471,129917.6471
Maize,2011,Rabi       ,Maharashtra,116200,294500,1174.095455,19465824,38346,2.656666667,136705.8824,20505.88235
Maize,2011,Summer     ,Maharashtra,24900,36400,1174.095455,4171248,8217,1.311666667,29294.11765,4394.117647
Moong(Green Gram),2011,Kharif     ,Maharashtra,432700,253540,1174.095455,72485904,142791,0.5225,509058.8235,76358.82353
Niger seed,2011,Kharif     ,Maharashtra,37400,11470,1174.095455,6265248,12342,0.277368421,44000,6600
Other  Rabi pulses,2011,Rabi       ,Maharashtra,104000,43440,1174.095455,17422080,34320,0.487083333,122352.9412,18352.94118
Other Kharif pulses,2011,Kharif     ,Maharashtra,87900,36110,1174.095455,14725008,29007,0.44483871,103411.7647,15511.76471
Ragi,2011,Kharif     ,Maharashtra,130300,137800,1174.095455,21827856,42999,1.037272727,153294.1176,22994.11765
Rapeseed &Mustard,2011,Rabi       ,Maharashtra,13100,4570,1174.095455,2194512,4323,0.384782609,15411.76471,2311.764706
Rice,2011,Kharif     ,Maharashtra,1516400,2784600,1174.095455,254027328,500412,1.319642857,1784000,267600
Rice,2011,Summer     ,Maharashtra,27800,64300,1174.095455,4657056,9174,2.427777778,32705.88235,4905.882353
Safflower,2011,Rabi       ,Maharashtra,130700,71100,1174.095455,21894864,43131,0.516666667,153764.7059,23064.70588
Sesamum,2011,Kharif     ,Maharashtra,42300,14210,1174.095455,7086096,13959,0.386451613,49764.70588,7464.705882
Sesamum,2011,Rabi       ,Maharashtra,3200,970,1174.095455,536064,1056,0.217142857,3764.705882,564.7058824
Small millets,2011,Kharif     ,Maharashtra,58000,30260,1174.095455,9716160,19140,0.432,68235.29412,10235.29412
Small millets,2011,Rabi       ,Maharashtra,9300,4220,1174.095455,1557936,3069,0.596666667,10941.17647,1641.176471
Soyabean,2011,Kharif     ,Maharashtra,3010300,3969200,1174.095455,504285456,993399,1.484285714,3541529.412,531229.4118
Sugarcane,2011,Whole Year ,Maharashtra,1022000,89456100,1174.095455,171205440,337260,76.54074074,1202352.941,180352.9412
Sunflower,2011,Kharif     ,Maharashtra,41700,22750,1174.095455,6985584,13761,0.544736842,49058.82353,7358.823529
Sunflower,2011,Rabi       ,Maharashtra,55400,33800,1174.095455,9280608,18282,0.561052632,65176.47059,9776.470588
Sunflower,2011,Summer     ,Maharashtra,5600,5200,1174.095455,938112,1848,0.902857143,6588.235294,988.2352941
Urad,2011,Kharif     ,Maharashtra,363900,249460,1174.095455,60960528,120087,0.616060606,428117.6471,64217.64706
Wheat,2011,Rabi       ,Maharashtra,878100,1498800,1174.095455,147099312,289773,1.646666667,1033058.824,154958.8235
Arhar/Tur,2011,Kharif     ,Manipur,545,524,1533.561905,91298.4,179.85,0.968888889,641.1764706,96.17647059
Banana,2011,Whole Year ,Manipur,6279,81942,1533.561905,1051858.08,2072.07,13.05444444,7387.058824,1108.058824
Cowpea(Lobia),2011,Kharif     ,Manipur,899,980,1533.561905,150600.48,296.67,1.101111111,1057.647059,158.6470588
Dry chillies,2011,Whole Year ,Manipur,8337,63360,1533.561905,1396614.24,2751.21,7.6,9808.235294,1471.235294
Ginger,2011,Kharif     ,Manipur,2374,27538,1533.561905,397692.48,783.42,11.6,2792.941176,418.9411765
Gram,2011,Rabi       ,Manipur,610,521,1533.561905,102187.2,201.3,0.847777778,717.6470588,107.6470588
Groundnut,2011,Kharif     ,Manipur,3355,2856,1533.561905,562029.6,1107.15,0.853333333,3947.058824,592.0588235
Maize,2011,Kharif     ,Manipur,20000,35500,1533.561905,3350400,6600,1.696666667,23529.41176,3529.411765
Maize,2011,Rabi       ,Manipur,4850,10500,1533.561905,812472,1600.5,2.156666667,5705.882353,855.8823529
Masoor,2011,Rabi       ,Manipur,517,434,1533.561905,86607.84,170.61,0.833333333,608.2352941,91.23529412
Moong(Green Gram),2011,Kharif     ,Manipur,439,420,1533.561905,73541.28,144.87,0.971111111,516.4705882,77.47058824
Other  Rabi pulses,2011,Rabi       ,Manipur,4999,4328,1533.561905,837432.48,1649.67,0.878888889,5881.176471,882.1764706
Other Kharif pulses,2011,Kharif     ,Manipur,1461,1623,1533.561905,244746.72,482.13,1.12,1718.823529,257.8235294
Peas & beans (Pulses),2011,Rabi       ,Manipur,17524,16368,1533.561905,2935620.48,5782.92,0.935555556,20616.47059,3092.470588
Potato,2011,Whole Year ,Manipur,14400,122000,1533.561905,2412288,4752,8.478888889,16941.17647,2541.176471
Rapeseed &Mustard,2011,Rabi       ,Manipur,27500,21040,1533.561905,4606800,9075,0.774444444,32352.94118,4852.941176
Rice,2011,Kharif     ,Manipur,223670,591000,1533.561905,37469198.4,73811.1,2.34,263141.1765,39471.17647
Soyabean,2011,Kharif     ,Manipur,5045,4504,1533.561905,845138.4,1664.85,0.891111111,5935.294118,890.2941176
Sugarcane,2011,Whole Year ,Manipur,5750,333000,1533.561905,963240,1897.5,57.67333333,6764.705882,1014.705882
Turmeric,2011,Whole Year ,Manipur,1556,17847,1533.561905,260661.12,513.48,11.47,1830.588235,274.5882353
Urad,2011,Kharif     ,Manipur,1506,1650,1533.561905,252285.12,496.98,1.136666667,1771.764706,265.7647059
Wheat,2011,Rabi       ,Manipur,2150,5370,1533.561905,360168,709.5,2.473333333,2529.411765,379.4117647
Arhar/Tur,2011,Kharif     ,Mizoram,116,114,2439.340909,19432.32,38.28,0.9275,136.4705882,20.47058824
Cotton(lint),2011,Kharif     ,Mizoram,158,109,2439.340909,26468.16,52.14,0.63,185.8823529,27.88235294
Cowpea(Lobia),2011,Kharif     ,Mizoram,1387,1458,2439.340909,232350.24,457.71,0.96625,1631.764706,244.7647059
Cowpea(Lobia),2011,Rabi       ,Mizoram,227,283,2439.340909,38027.04,74.91,1.13,267.0588235,40.05882353
Maize,2011,Kharif     ,Mizoram,6696,8130,2439.340909,1121713.92,2209.68,1.32,7877.647059,1181.647059
Maize,2011,Rabi       ,Mizoram,209,268,2439.340909,35011.68,68.97,1.326666667,245.8823529,36.88235294
Onion,2011,Rabi       ,Mizoram,2,8,2439.340909,335.04,0.66,4,2.352941176,0.352941176
Other  Rabi pulses,2011,Rabi       ,Mizoram,1476,2815,2439.340909,247259.52,487.08,1.5425,1736.470588,260.4705882
Other Kharif pulses,2011,Kharif     ,Mizoram,593.7,609,2439.340909,99456.624,195.921,0.91125,698.4705882,104.7705882
Potato,2011,Kharif     ,Mizoram,319,2335,2439.340909,53438.88,105.27,5.87,375.2941176,56.29411765
Potato,2011,Rabi       ,Mizoram,90,534,2439.340909,15076.8,29.7,5.865,105.8823529,15.88235294
Rapeseed &Mustard,2011,Kharif     ,Mizoram,10,4,2439.340909,1675.2,3.3,0.4,11.76470588,1.764705882
Rapeseed &Mustard,2011,Rabi       ,Mizoram,365,340,2439.340909,61144.8,120.45,1.57,429.4117647,64.41176471
Rice,2011,Autumn     ,Mizoram,25826,26644,2439.340909,4326371.52,8522.58,1.04125,30383.52941,4557.529412
Rice,2011,Kharif     ,Mizoram,12700,25304,2439.340909,2127504,4191,2.03125,14941.17647,2241.176471
Rice,2011,Rabi       ,Mizoram,450,947,2439.340909,75384,148.5,2.3775,529.4117647,79.41176471
Sesamum,2011,Kharif     ,Mizoram,954,605,2439.340909,159814.08,314.82,0.5125,1122.352941,168.3529412
Soyabean,2011,Kharif     ,Mizoram,1143.7,1433,2439.340909,191592.624,377.421,1.17125,1345.529412,201.8294118
Sugarcane,2011,Whole Year ,Mizoram,1463,7457,2439.340909,245081.76,482.79,5.845,1721.176471,258.1764706
Tapioca,2011,Kharif     ,Mizoram,391,1294,2439.340909,65500.32,129.03,4.176666667,460,69
Tobacco,2011,Whole Year ,Mizoram,272,243,2439.340909,45565.44,89.76,0.9125,320,48
Arhar/Tur,2011,Kharif     ,Nagaland,2520,2150,1544.354545,422150.4,831.6,0.829090909,2964.705882,444.7058824
Bajra,2011,Kharif     ,Nagaland,650,560,1544.354545,108888,214.5,0.866363636,764.7058824,114.7058824
Barley,2011,Rabi       ,Nagaland,460,730,1544.354545,77059.2,151.8,1.584545455,541.1764706,81.17647059
Castor seed,2011,Kharif     ,Nagaland,280,190,1544.354545,46905.6,92.4,0.632222222,329.4117647,49.41176471
Cotton(lint),2011,Kharif     ,Nagaland,110,60,1544.354545,18427.2,36.3,0.53,129.4117647,19.41176471
Ginger,2011,Kharif     ,Nagaland,3150,28720,1544.354545,527688,1039.5,9.116363636,3705.882353,555.8823529
Gram,2011,Rabi       ,Nagaland,750,540,1544.354545,125640,247.5,0.714545455,882.3529412,132.3529412
Groundnut,2011,Kharif     ,Nagaland,750,760,1544.354545,125640,247.5,1.008,882.3529412,132.3529412
Horse-gram,2011,Kharif     ,Nagaland,330,330,1544.354545,55281.6,108.9,1.011818182,388.2352941,58.23529412
Jowar,2011,Kharif     ,Nagaland,120,110,1544.354545,20102.4,39.6,0.934,141.1764706,21.17647059
Jute,2011,Kharif     ,Nagaland,3040,5480,1544.354545,509260.8,1003.2,1.802,3576.470588,536.4705882
Linseed,2011,Rabi       ,Nagaland,5740,4630,1544.354545,961564.8,1894.2,0.808181818,6752.941176,1012.941176
Maize,2011,Kharif     ,Nagaland,63500,124460,1544.354545,10637520,20955,1.954545455,74705.88235,11205.88235
Maize,2011,Rabi       ,Nagaland,5020,9840,1544.354545,840950.4,1656.6,1.956666667,5905.882353,885.8823529
Masoor,2011,Rabi       ,Nagaland,1990,1520,1544.354545,333364.8,656.7,0.764444444,2341.176471,351.1764706
Mesta,2011,Kharif     ,Nagaland,1580,3030,1544.354545,264681.6,521.4,1.879090909,1858.823529,278.8235294
